,0
0,-8.417487932794552
1,-7.554159080350582
2,-9.067229703456439
3,-7.293276174715959
4,-8.353547900697272
5,-8.589022005056746
6,-8.81645005166497
7,-9.06220546577462
8,-8.64667004149805
9,-6.704988708789163
10,-6.605148294862988
11,-6.657635976413997
12,-6.608066204145237
13,-8.9986396255293
14,-9.282578983258833
15,-8.365504569126664
16,-6.5731969749005605
17,-8.937975477900649
18,-9.133630682782915
19,-8.713958603253449
20,-8.844858963091378
21,-8.259128462997825
22,-8.822548541836717
23,-8.93911484498951
24,-7.186511021574681
25,-6.969225080156771
26,-8.476000580588725
27,-8.890533391659046
28,-9.575059821433234
29,-6.409799583559208
30,-8.826201165906438
31,-8.863522073475345
32,-8.2042931249012
33,-8.936553694446864
34,-8.915408522591525
35,-9.119175615611013
36,-8.737998320839003
37,-6.591851771087216
38,-6.461879018943667
39,-9.537835456563116
40,-7.48639315048947
41,-8.946911655911594
42,-7.302927790806069
43,-8.235584996973799
44,-6.555830117942659
45,-8.949433843891157
46,-9.191595154704103
47,-8.711468606390785
48,-8.396175464857835
49,-8.191802680761382
50,-6.591604000210779
51,-6.448041122932516
52,-8.894966456800738
53,-9.19216587459969
54,-8.43585514645831
55,-8.696214892482393
56,-9.621289502190596
57,-7.1391218107743555
58,-8.768210479308053
59,-8.474621074584567
60,-7.09529017618637
61,-9.556097678831694
62,-7.225049397723223
63,-6.660838103658106
64,-7.268100973028257
65,-8.478600727562215
66,-6.456332778535512
67,-9.532249237673147
68,-9.581467334908957
69,-8.785302972378199
70,-6.1838784926648405
71,-8.167184186213381
72,-9.591088476098108
73,-8.88476395504623
74,-8.783436024323901
75,-7.282459635245634
76,-6.501573331619723
77,-8.1577308148561
78,-7.2639319890905005
79,-7.043988616236517
80,-8.819571279043153
81,-8.788064297255398
82,-8.559061539147326
83,-7.187097271496575
84,-8.87187111589259
85,-8.90516164262605
86,-8.79695721624442
87,-8.420890877918119
88,-6.491909891743503
89,-9.532343958922034
90,-8.93106530680331
91,-6.633567047736546
92,-5.961382593316936
93,-8.665713881014407
94,-9.896649275480126
95,-9.114501698638607
96,-7.286120551812028
97,-8.82778473563766
98,-8.48865449069637
99,-8.156931346956235
100,-9.597929285833949
101,-8.892286056843874
102,-8.85857322382952
103,-8.18974350119916
104,-6.100559495356767
105,-7.0841793678495675
106,-8.99898116143098
107,-9.281864986869161
108,-8.8646274320988
109,-6.339774933750494
110,-8.228927372137353
111,-6.621119479357917
112,-8.973337646979031
113,-8.958963864226467
114,-7.246204852067443
115,-8.595926002613705
116,-8.923596285515233
117,-6.5369483975197396
118,-6.9712392848228255
119,-8.885276824566494
120,-6.985711088613113
121,-8.657349939938738
122,-7.207251287017771
123,-9.138454725505145
124,-7.261265358204446
125,-8.333237288137331
126,-8.688843986954973
127,-8.860110568687867
128,-9.084373228797148
129,-8.724456911115759
130,-7.356949657940014
131,-6.3245347817400965
132,-6.721589616503672
133,-6.388999006366926
134,-8.98647810017297
135,-6.882346182856742
136,-8.369441602004036
137,-6.575515374318267
138,-8.928958026599567
139,-9.102293548601729
140,-8.696729874439516
141,-8.905964462057042
142,-8.298054164940108
143,-8.825035506213643
144,-8.909608121044966
145,-7.253419893209105
146,-7.107706055170461
147,-8.639939755595384
148,-6.528264836574942
149,-9.574542272871652
150,-6.561490848197826
151,-8.85631875851695
152,-8.953187845032284
153,-7.202899636373799
154,-8.937561126074689
155,-8.85069388387885
156,-9.10870127649064
157,-8.714152874792218
158,-6.739372624189893
159,-6.487593044169312
160,-9.5023164938951
161,-9.228650827141957
162,-8.95097243694495
163,-7.255061349634441
164,-8.173654214566467
165,-5.715344612624774
166,-8.964558308614484
167,-9.195434987925434
168,-8.711376508271645
169,-8.76543892658627
170,-8.238379978923579
171,-6.59642152188872
