,0
0,-4.990331637949874
1,-3.566213383815387
2,-5.276118144852834
3,-5.278426747140463
4,-3.924337659824419
5,-5.275733377804896
6,-3.9198970674950804
7,-4.8551996780744595
8,-4.851128602879574
9,-4.855376681343802
10,-4.9843270822708705
11,-4.989806199358095
12,-3.56714927194044
13,-5.278163237924866
14,-5.280200995738187
15,-3.923531601314495
16,-5.275013975849731
17,-3.9181521767248917
18,-4.856025817505
19,-4.27651967580413
20,-4.856707580281668
21,-4.987178049037144
22,-4.9914807830202195
23,-3.9265789815404037
24,-5.276010737845977
25,-5.279987059461494
26,-3.9224904105567884
27,-5.2720344162304595
28,-3.9185428247795047
29,-4.854215841459919
30,-3.9159632701581093
31,-4.854215841459919
32,-4.984138263211672
33,-5.134953366212813
34,-3.927409078297884
35,-5.275188934853905
36,-5.280262745974955
37,-3.3849540199720076
38,-4.270647825150734
39,-3.375167339577951
40,-4.855391399365602
41,-4.850240302830785
42,-4.856196258199168
43,-5.130868144586894
44,-5.135611321759838
45,-3.9258812554838287
46,-5.274692654800702
47,-5.279610254091609
48,-3.366090051212263
49,-4.251084674820043
50,-3.354902179654766
51,-4.856831521057911
52,-4.27707583242309
53,-4.856831521057911
54,-5.129906927085198
55,-5.133154264775242
56,-3.672272799473029
57,-5.276522280774952
58,-5.278821586002975
59,-3.6821226066193855
60,-4.2545958644741155
61,-3.62889872746073
62,-4.855039069586042
63,-4.282533876936476
64,-4.853628745963794
65,-5.128307445669919
66,-5.133120068853416
67,-3.926613881520069
68,-5.274367719709975
69,-5.277454288727764
70,-3.921586574725132
71,-5.274174809146364
72,-3.9115824106457997
73,-4.855543986512403
74,-4.851461758501665
75,-4.856253939209923
76,-5.130492511962595
77,-5.134471228689512
78,-3.926671098996898
79,-5.274764290941967
80,-5.27767460607887
81,-3.5638361610986746
82,-5.275309975030136
83,-3.554972122007922
84,-4.8545752195626
85,-4.851562865937663
86,-4.8545752195626
87,-5.130047096177027
88,-5.135390636694563
89,-3.928479725347858
90,-5.278078383343539
91,-5.278437729638702
92,-3.5653046635793024
93,-5.277539363900796
94,-3.5584946130587882
95,-4.857275350624279
96,-4.85330793380452
97,-4.8557875693168695
98,-5.130845733823229
99,-5.133801353814689
100,-3.927044430797615
101,-5.220717910812729
102,-5.235021247554683
103,-3.5650113595945228
104,-5.2768041770407255
105,-3.5592900503512364
106,-4.854600190067582
107,-4.837888443668861
108,-4.855809994664773
109,-5.130328988084652
110,-5.134945861630667
111,-3.926813852241518
112,-5.1332297001410225
113,-5.135136546240629
114,-3.9228736123868084
115,-5.273668649799599
116,-3.9186415029132315
117,-4.855667535302088
118,-4.278957867123133
119,-4.856569170748908
120,-5.133420384750982
121,-5.133556737235259
122,-3.567236456419634
123,-5.133556737235259
124,-5.135872118617629
125,-3.9232267160473477
126,-5.274355937380845
127,-3.919001157427465
128,-4.855893542670459
129,-4.278867212685014
130,-4.855725110705746
131,-5.132309993413982
132,-5.136349150268336
133,-3.5777130355545657
134,-5.135981480322003
135,-5.135981480322003
136,-3.924339894342574
137,-4.255858488372096
138,-3.921948119409658
139,-4.856138308363151
140,-4.853182866726299
141,-4.855964458855101
142,-5.1308341010733445
143,-5.135336857824463
144,-3.927414291642007
145,-5.133436429707437
146,-5.13666715750638
147,-3.482124794263422
148,-4.253162890206016
149,-3.477071852345864
150,-4.85531962680771
151,-4.853702145439585
152,-4.857116828327849
153,-5.13286630127233
154,-5.136084916879795
155,-3.9282024051577134
156,-5.134507979539641
157,-5.135734486359761
158,-3.4949809665387948
159,-5.274829047314578
160,-3.4943836972506443
161,-4.856608280051153
162,-4.854785602088664
163,-4.857436770034103
164,-5.131879750639386
165,-5.135119171086833
166,-3.568896509348216
167,-5.133314271726148
168,-5.135480150958971
169,-3.922690091725795
170,-5.275932492184206
171,-3.9211706329255636
172,-4.857045516017988
173,-4.854826595870805
174,-4.856533457522484
175,-5.131870352237599
176,-5.064315690519602
177,-3.5741837349969594
178,-5.047898826819358
179,-5.065470345259802
180,-3.926086240172058
181,-5.2770999672402
182,-3.9229496727580884
183,-4.85577167131951
184,-4.85208047278563
185,-4.855402551466122
186,-5.075533889775149
187,-4.99255196777957
188,-3.9295359254397755
189,-4.992910615239632
190,-4.992910615239632
191,-3.7480631366675627
192,-5.276762096122778
193,-3.743616396293304
194,-4.857000440899302
195,-4.279514830147189
196,-4.857174883324361
197,-4.990400083019204
198,-4.991754998344613
199,-3.9284536325366006
200,-4.99230624862051
201,-4.993041248988374
202,-3.7448924240821793
203,-5.2752898143209235
204,-3.745030499903435
205,-4.856055028923266
206,-4.278393967959092
207,-4.855876280624635
208,-4.986242495585636
209,-4.9906661546109445
210,-3.9288983552417096
211,-4.992294430680964
212,-4.992620085894968
213,-3.924796405898554
214,-5.274598310623594
215,-3.9221045016421074
216,-4.8557674479251585
217,-4.853391517871698
218,-4.85687621528344
219,-4.988875050933922
220,-4.991150046098363
221,-3.7501456861313263
222,-4.9914760839235
223,-4.993269291961749
224,-3.9253008662821034
225,-4.265331459482395
226,-3.9217074436620845
227,-4.857666517084954
228,-4.855129214124868
229,-4.856239284169906
230,-4.990008913710387
231,-4.993563999981248
232,-3.749230543016649
233,-4.99262743746953
234,-4.993938624985936
235,-3.745570971964412
236,-4.275907008193649
237,-3.74233365911051
238,-4.856907185144562
239,-4.282414373335957
240,-4.85672497140661
241,-4.988319249915624
242,-4.992632826071849
243,-3.928123979939717
244,-4.990203152143699
245,-4.992979922347298
246,-3.746802228280695
247,-5.278009615384615
248,-3.7462805893223186
249,-4.857405509519841
250,-4.280785357384822
251,-4.855548444991665
252,-4.989856055868249
253,-4.992697844215431
254,-3.9287794258220727
255,-4.989423705436799
256,-4.992697844215431
257,-3.925772268512616
258,-5.27554288581989
259,-3.9217627254333394
260,-3.9237738815957175
261,-4.854670118531739
262,-4.857678187930158
263,-4.987786636047483
264,-4.992924507775715
265,-3.75056132205022
266,-4.992211843700954
267,-4.993779704665428
268,-3.926524514463545
269,-5.2781477814238835
270,-3.9246169639035506
271,-3.9250817270652014
272,-4.854518201597948
273,-4.857152608253676
274,-4.990358917106575
275,-4.990009223757687
276,-3.7467700585747803
277,-4.989604961658301
278,-4.993849713701843
279,-3.73598601957045
280,-4.253461633012304
281,-3.7276321865389273
282,-4.856930831933881
283,-4.852015109056331
284,-4.855357800613064
285,-4.9887964374595315
286,-4.98993990248603
287,-3.867834689290256
288,-4.990469826366785
289,-4.993649369651317
290,-3.7466836890648194
291,-4.2661200624160145
292,-3.7389851148640276
293,-4.8563444219004195
294,-4.1848129354091474
295,-4.870648823732233
296,-4.990116543779615
297,-4.9922356395019785
298,-3.750797880853847
299,-4.992058960720853
300,-4.9936490697509885
301,-3.9252657725620734
302,-5.276829212648557
303,-3.9247094115865497
304,-4.857031316320037
305,-3.92169410215938
306,-4.999918635266345
307,-4.9922356395019785
308,-4.992428320698745
309,-3.750112873372609
310,-4.990452686222806
311,-4.994239318968357
312,-3.924712400605634
313,-4.269846143704682
314,-3.920824108540703
315,-4.857011738834874
316,-4.856691429424854
317,-5.000405157176998
318,-4.9893002327785085
319,-4.991992504971075
320,-3.9259618272098677
321,-4.990728389370931
322,-4.9936177964569755
323,-3.7339123712039033
324,-4.2580867272234295
325,-3.7245490933432746
326,-4.854877616594363
327,-4.277140307528921
328,-4.99751673671367
329,-4.988200158170642
330,-4.993092485031012
331,-3.926296793768597
332,-4.991659746871749
333,-4.993450669570827
334,-3.739322667930514
335,-5.275821192320103
336,-3.726134241332328
337,-4.855783621956906
338,-4.276911221361728
339,-4.999528517263638
340,-4.991838839141656
341,-5.090699609769352
342,-3.928542143332102
343,-5.177503805234141
344,-5.135992887027257
345,-4.286340471989783
346,-5.345392531257276
347,-4.2811764070629765
348,-4.962773513337729
349,-4.901943998990449
350,-5.085525402607363
351,-5.232883188048454
352,-5.422117877378663
353,-3.9285758348701068
354,-5.419991556642437
355,-5.422311179263775
356,-4.284821008503488
357,-5.703971917094295
358,-4.281151842905882
359,-5.285641901191998
360,-5.283191965558402
361,-5.287526467063996
362,-5.4201848585275485
363,-5.421934831600244
364,-4.2880402638898705
365,-5.422127344554071
366,-5.423089909323209
367,-3.9241253826258986
368,-4.551752406661466
369,-3.9209155211919273
370,-5.286967250550089
371,-5.284339626512754
372,-5.285841125962659
373,-5.41981718910814
374,-5.421678484095624
375,-3.9271283323633535
376,-5.421890716088269
377,-5.422739644058846
378,-3.9217434355315133
379,-4.553183171779026
380,-3.9162046845044776
381,-5.286192715873073
382,-4.27720178435189
383,-5.287227276839856
384,-5.41913170018389
385,-5.4202553655410375
386,-3.938685680968353
387,-5.4215100058787264
388,-5.421928219324624
389,-4.283721980889322
390,-5.323634266219502
391,-4.2800835790833
392,-5.286430097384444
393,-5.285003040553558
394,-5.286430097384444
395,-5.418373405034504
396,-5.347876119777251
397,-4.287500904684901
398,-5.378521859435526
399,-5.336716013247099
400,-4.285868645047899
401,-5.678524968006364
402,-4.274127241716243
403,-5.2519607861787465
404,-5.278937809127697
405,-5.243898371567171
406,-5.349542413184832
407,-5.27628207971187
408,-4.286936836478545
409,-5.27628207971187
410,-5.279845294082628
411,-3.924400081110844
412,-5.560491737607654
413,-3.9201863372871752
414,-5.213800578937969
415,-5.213800578937969
416,-4.280639438722862
417,-5.277749285629241
418,-5.276895983493946
419,-3.9273484041494084
420,-5.277106293803759
421,-5.2789990865920675
422,-3.9248429187241136
423,-5.563350024390732
424,-3.9215544691034143
425,-4.28078998337448
426,-5.211089374601784
427,-4.281131381411275
428,-5.278157845352819
429,-5.276779508797653
430,-3.9291248329205684
431,-5.2754573863636365
432,-5.278857129765396
433,-4.283574443105818
434,-5.519290443280165
435,-4.280659298780483
436,-4.28260793219369
437,-5.2129882530308995
438,-5.215786822294542
439,-5.277346132697947
440,-5.278579810677458
441,-4.286683543653209
442,-5.276823081827254
443,-5.279555771149795
444,-4.2850979384955785
445,-4.555562901929266
446,-4.283195212306422
447,-5.214785321266216
448,-4.2789891929537625
449,-5.215556568078501
450,-5.277408658110655
451,-5.2778884386560385
452,-3.929060038351891
453,-5.276277115670645
454,-5.2799025923877805
455,-3.9254607620085027
456,-4.554369484382751
457,-3.922911274598602
458,-5.212728109149156
459,-4.2792371763090635
460,-5.2149166591186455
461,-5.276881361790168
462,-5.2778835710936365
463,-3.9290970656065123
464,-5.276169106640456
465,-5.278455059244697
466,-3.924558200363401
467,-5.563546079209351
468,-3.921721409586457
469,-5.21483634779433
470,-5.2116374080219305
471,-5.215212693649907
472,-5.27807406714399
473,-5.278337711225105
474,-4.28689232297324
475,-5.277275286662643
476,-5.279400135787568
477,-4.284303202952118
478,-5.562858464091734
479,-4.281714082930995
480,-5.2139677391369945
481,-5.213128164604708
482,-5.215017207302354
483,-5.276212862100181
484,-5.27822772719464
