,0
107,-5.099524079734524
108,-5.118414837947323
109,-5.407779967711975
110,-5.412646524288287
111,-4.1391780793016055
112,-5.4108375518526755
113,-5.4128475212255776
114,-4.135024749134326
115,-5.5588715162268985
116,-4.1305637648805815
117,-5.118264674304888
118,-4.510366233872063
119,-5.119215070686645
120,-5.411038548789965
121,-5.411182275290689
122,-3.76015454251014
123,-5.411182275290689
124,-5.413622873756455
125,-4.135396948832713
126,-5.559595972694027
127,-4.130942869706391
128,-5.11850290427456
129,-4.510270676792666
130,-5.118325363417664
131,-5.409868106886045
132,-5.414125703538063
133,-3.771197700737929
134,-5.413738149801231
135,-5.413738149801231
136,-4.1365703284150745
137,-4.486017628165378
138,-4.134049204994035
139,-5.118760907028924
140,-5.115645633502289
141,-5.118577655645004
142,-5.408312397485588
143,-5.41305866576872
144,-4.139810990791167
145,-5.411055461466384
146,-5.414460908780353
147,-3.6704399954126705
148,-4.48317625058562
149,-3.6651137876503137
150,-5.117897950730073
151,-5.116192995090579
152,-5.119792345885066
153,-5.4104545001756845
154,-5.413847180264279
155,-4.140641725914083
156,-5.412184961295821
157,-5.413477798271288
158,-3.6839914364710675
159,-5.560094668670077
160,-3.683361866535243
161,-5.1192562950412075
162,-5.117335045664017
163,-5.120129590212658
164,-5.409414596348394
165,-5.412829206414023
166,-3.761904372003215
167,-5.410926697115083
168,-5.413209708273811
169,-4.134831303576235
170,-5.561257788437896
171,-4.133229671618374
172,-5.119717176966734
173,-5.117378256412174
174,-5.119177426069528
175,-5.409404689675932
176,-5.338196635141299
177,-3.7674775336882558
178,-5.320891938530803
179,-5.3394137342373185
180,-4.138411117576026
181,-5.562488401179352
182,-4.135104922891818
183,-5.118374442054723
184,-5.1144836214982385
185,-5.117985359999075
186,-5.35002152070884
187,-5.262551891277247
188,-4.142047363697668
189,-5.262929934586847
190,-5.262929934586847
191,-3.9507604278917103
192,-5.562132257808293
193,-3.946073205381539
194,-5.119669664161135
195,-4.510953317759128
196,-5.119853540527337
197,-5.260283631419652
198,-5.261711821302153
199,-4.140906539806144
200,-5.262292883492535
201,-5.263067633079711
202,-3.947418241446663
203,-5.560580354206518
204,-3.947563784483366
205,-5.118673123791674
206,-4.509771838734793
207,-5.118484708687916
208,-5.255901199398337
209,-5.260564092307662
210,-4.14137531335682
211,-5.262280426432397
212,-5.262623693257343
213,-4.137051528364082
214,-5.559851453613456
215,-4.134214044462597
216,-5.11836999025691
217,-5.115865568615017
218,-5.119538720356458
219,-5.2586761247704565
220,-5.261074152909679
221,-3.9529556027621844
222,-5.261417823037577
223,-5.26330800874101
224,-4.13758327023931
225,-4.496002902701177
226,-4.133795513371243
227,-5.12037176210887
228,-5.1176972404258665
229,-5.11886734366218
230,-5.259871307462041
231,-5.263618654730356
232,-3.951990968210553
233,-5.2626314424090515
234,-5.264013539658878
235,-3.948133485567107
236,-4.507150382833759
237,-3.944721097074828
238,-5.119571365084502
239,-4.51400966981923
240,-5.119379297128581
241,-5.2580902657310515
242,-5.262637122429912
243,-4.14055905941768
244,-5.260076050415381
245,-5.26300298986056
246,-3.949431328894071
247,-5.563447243589744
248,-3.9488814794173535
249,-5.1200966391127976
250,-4.512292555800209
251,-5.11813914352576
252,-5.259710182984734
253,-5.262705656790032
254,-4.14124995216954
255,-5.259254450807002
256,-5.262705656790032
257,-4.138080166158621
258,-5.560847111949674
259,-4.1338537848107295
260,-4.135973705391282
261,-5.117213316693577
262,-5.120384064119724
263,-5.257528847815486
264,-5.262944578438831
265,-3.9533937164974393
266,-5.262193373103627
267,-5.263846024841076
268,-4.138873093979366
269,-5.5635928817234985
270,-4.136862382048475
271,-4.137352279854473
272,-5.117053184009451
273,-5.119830060808725
274,-5.260240239232097
275,-5.259871634276868
276,-3.9493974194329784
277,-5.259445509463462
278,-5.263919820004225
279,-3.938030173738972
280,-4.483491149565216
281,-3.9292245608774183
282,-5.1195962907050365
283,-5.114414722862939
284,-5.117938188995565
285,-5.25859325983665
286,-5.259798564073169
287,-4.077009291167157
288,-5.26035714652537
289,-5.2637086412385745
290,-3.9493063790129836
291,-4.496834153709993
292,-3.9411914617358113
293,-5.1189781672982955
294,-4.4111298930902265
295,-5.134056158954549
296,-5.2599847582239025
297,-5.262218455794502
298,-3.953643068529719
299,-5.262032222128882
300,-5.263708325119473
301,-4.13754627863183
302,-5.562203004032258
303,-4.13695982935241
304,-5.119702209341401
305,-4.1337814503528225
306,-5.270316952144942
307,-5.262218455794502
308,-5.262421557295098
309,-3.9529210154716448
310,-5.2603390794330895
311,-5.264330495335273
312,-4.13696298001927
313,-4.5007617434995995
314,-4.132864407006471
315,-5.119681573095201
316,-5.119343941178224
317,-5.270829785424911
318,-5.259124300680252
319,-5.261962172416042
320,-4.138279976293231
321,-5.2606296927572895
322,-5.263675360548725
323,-3.9358443813418886
324,-4.488366371384673
325,-3.925974732326313
326,-5.117432036364187
327,-4.508450379667287
328,-5.267785157613284
329,-5.257964733439783
330,-5.2631216399953775
331,-4.138633058025485
332,-5.261611418577875
333,-5.263499195349753
334,-3.941547269855568
335,-5.5611404694166575
336,-3.9276456059800244
337,-5.118387038989083
338,-4.508208904395682
339,-5.2699057363486475
340,-5.261800196255063
341,-5.36600741108177
342,-4.140999837313565
343,-5.45750602460891
344,-5.413750173387305
345,-4.518148094021798
346,-5.634474264170394
347,-4.512704753657465
348,-5.23116300183682
349,-5.167043794297327
350,-5.360553379984664
351,-5.515880354540391
352,-5.715348958704537
353,-4.141035350908255
354,-5.713107645387399
355,-5.715552714460641
356,-4.5165464571244485
357,-6.012445818054668
358,-4.512678861057406
359,-5.57149228756117
360,-5.56890985807715
361,-5.573478771779646
362,-5.713311401143502
363,-5.715156013710949
364,-4.519939811591552
365,-5.715358937869936
366,-5.716373558664871
367,-4.13634421578819
368,-4.797913650352144
369,-4.132960763303549
370,-5.572889312532774
371,-5.570119585159582
372,-5.571702286515692
373,-5.712923847962091
374,-5.714885802793973
375,-4.139509566679326
376,-5.715109512408112
377,-5.716004350864668
378,-4.1338334517005295
379,-4.799421792024776
380,-4.127995162008053
381,-5.572072890599523
382,-4.50851518119025
383,-5.573163401185597
384,-5.712201287424306
385,-5.713385721214596
386,-4.151691942977442
387,-5.714708213183551
388,-5.71514904383987
389,-4.515387993499668
390,-5.611539300335381
391,-4.511552824946777
392,-5.572323109832029
393,-5.570818876992229
394,-5.572323109832029
395,-5.7114019832611636
396,-5.637092166507174
397,-4.5193712835476765
398,-5.669395244419847
399,-5.625328515351185
400,-4.517650750422494
401,-5.985622684131542
402,-4.5052743656180825
403,-5.535989679544824
404,-5.564425634554857
405,-5.527491245169732
406,-5.638848573967744
407,-5.56162628184903
408,-4.5187767102261915
409,-5.56162628184903
410,-5.5653821967893
411,-4.13663377011648
412,-5.861206152490599
413,-4.132192144736971
414,-5.495765747559234
415,-5.495765747559234
416,-4.5121387457777145
417,-5.56317283505973
418,-5.562273385881252
419,-4.139741540067163
420,-5.562495069886906
421,-5.564490225937799
422,-4.137100556628524
423,-5.864219016976172
424,-4.13363426586531
425,-4.5122974319659015
426,-5.492907919819211
427,-4.512657292994051
428,-5.56360348991518
429,-5.562150612170088
430,-4.141614039071625
431,-5.560756988636364
432,-5.564340592008798
433,-4.515232476792657
434,-5.817776669776046
435,-4.512159679878044
436,-4.514213696445173
437,-5.4949094906256715
438,-5.4978594080359064
439,-5.562747879398827
440,-5.5640482753538825
441,-4.5185097191872154
442,-5.562196541652807
443,-5.5650770162989245
444,-4.5168383636410026
445,-4.801930219274746
446,-4.5148327369855465
447,-5.4968037452877265
448,-4.510399253820636
449,-5.497616701546735
450,-5.562813786219833
451,-5.563319513557835
452,-4.141545740377462
453,-5.561621049349758
454,-5.565442593817933
455,-4.137751813213485
456,-4.800672261058784
457,-4.135064448139
458,-5.494635278021434
459,-4.5106606482505525
460,-5.496942185962588
461,-5.562257973427787
462,-5.5633143827550136
463,-4.141584770086134
464,-5.561507199132521
465,-5.563916777295844
466,-4.136800440544142
467,-5.864425674545923
468,-4.1338102345803955
469,-5.496857531358211
470,-5.493485591184534
471,-5.497254230202172
472,-5.5635151809352905
473,-5.563793083031583
