,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
1,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
2,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
3,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
4,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
5,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
6,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
7,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
8,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
9,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
10,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
11,-560.7772748101038,-839.9375621463267,-470.17164777190845,-171.9948045367646,-897.5451902161911,-879.5906592515095,-233.4329952568765,-519.3896954708246,-890.3916099217249,-617.4934528465998,-806.0868219137687,-818.452900083881,-659.9788238225035,-1232.0959852171127,-1247.308290863648,-966.3551027517991,-1031.5468982194998,-693.953561391343,-946.4772618545284,-1190.1645216507357
