,0
0,-6.942973911643735
1,-6.0135623326299585
2,-6.9044906967683914
3,-7.501155786371843
4,-6.153188517852665
5,-6.831544301305701
6,-5.688804969322723
7,-7.112994037336462
8,-6.380197863629537
9,-7.160254190670749
10,-6.098721568346432
11,-6.835507114774513
12,-6.138166244518952
13,-7.412764017426593
14,-8.461997555948289
15,-6.0531547774325505
16,-6.707473396811219
17,-5.548244641158761
18,-7.354895351061996
19,-6.005139277052172
20,-7.609047767696457
21,-6.419234595736681
22,-7.225918058687608
23,-6.4926831957016935
24,-6.883608945725466
25,-8.285153039594274
26,-5.936102837555514
27,-6.308507264662051
28,-5.578265527624316
29,-6.883608945725466
30,-5.657757714000549
31,-6.883608945725466
32,-6.080495740817286
33,-7.3580260153423
34,-6.652047756531511
35,-6.736322791920396
36,-8.519390774959755
37,-5.6962453699799065
38,-6.1460529191524715
39,-4.98262766910936
40,-7.164283146779741
41,-6.270679052505205
42,-7.412764017426592
43,-6.52502965784348
44,-7.588070480726727
45,-6.375061853436134
46,-6.656469421721712
47,-8.033514257765203
48,-4.552923437424123
49,-4.8747020489329245
50,-4.148710246410576
51,-7.662901701745784
52,-6.064647552441263
53,-7.662901701745784
54,-6.3977811444481745
55,-6.90860676821422
56,-5.893905312296673
57,-6.987046935456587
58,-7.649802507784052
59,-5.491021346905422
60,-5.0256470517167
61,-5.047034784893795
62,-7.071905485918827
63,-5.893905312296673
64,-6.767491597853933
65,-6.2147212995618775
66,-6.901699945361751
67,-6.498922004966228
68,-6.607288120812829
69,-7.207007656548675
70,-5.843621708730274
71,-6.579138593056226
72,-5.591654471750284
73,-7.207007656548675
74,-6.424341200035523
75,-7.433112308594094
76,-6.4734765786993
77,-7.217163897119868
78,-6.509230317957934
79,-6.667628040091827
80,-7.266652751274013
81,-5.748550695561293
82,-6.756756193317262
83,-5.091355082610096
84,-6.961647046264829
85,-6.438107142097075
86,-6.961647046264829
87,-6.415417124237242
88,-7.505010860746575
89,-6.901320829135018
90,-7.3858510781252535
91,-7.505010860746575
92,-5.904716293393152
93,-7.229631717378243
94,-5.3116373512691695
95,-7.883137907847907
96,-6.709095259168934
97,-7.279111917456862
98,-6.5218826920657955
99,-7.0487845339194175
100,-6.5790684467715606
101,-7.340799525228216
102,-7.340799525228216
103,-5.871742132070573
104,-7.0487845339194175
105,-5.367338015426972
106,-6.967293337852203
107,-6.526311826715881
108,-7.286011453322988
109,-6.4517921538048615
110,-7.355678689187698
111,-6.535394036061368
112,-6.924007114952769
113,-7.417054738752233
114,-5.977755623123426
115,-6.5086544909411925
116,-5.585972842901475
117,-7.242948502526061
118,-6.29411219953483
119,-7.552087295060321
120,-6.963984372248605
121,-6.993544755909801
122,-6.150530487998157
123,-6.993544755909801
124,-7.695827949978427
125,-6.017575883448966
126,-6.605547159880664
127,-5.614505081354911
128,-7.3121320757962245
129,-6.281871269711731
130,-7.260136015997926
131,-6.750179548440289
132,-7.92840602618079
133,-6.11749969260872
134,-7.744641988069043
135,-7.744641988069043
136,-6.153478963395489
137,-5.08446493438384
138,-5.879702202017004
139,-7.39271996086799
140,-6.6871819512234785
141,-7.334836909315265
142,-6.520252871248189
143,-7.485753451786489
144,-6.653128648722401
145,-6.967419439703521
146,-8.119584639586156
147,-4.9967505254087765
148,-4.961959581208367
149,-4.7465395314506225
150,-7.144782950654831
151,-6.78132244141814
152,-7.7988960209578035
153,-6.851827200406301
154,-7.79307120655691
155,-6.830839398116631
156,-7.227247431793167
157,-7.637544300811388
158,-6.034731311934496
159,-6.677817868246568
160,-5.959178069807607
161,-7.56786260546398
162,-7.010207724145032
163,-7.9767670978740535
164,-6.677817868246568
165,-7.4113074564287125
166,-6.417748468997448
167,-6.941548182780557
168,-7.537891659732863
169,-5.957612255302791
170,-6.868655937773361
171,-5.803497454594507
172,-7.763163022332759
173,-7.01994045358717
174,-7.537891659732863
175,-6.676291496052284
176,-7.684324067681253
177,-6.788816403186085
