"","store","upc","week","move","price","profit","descrip","custcoun","brand","adjstore","wp","mks","market","summks","csame","cdiff","Prod1","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11","os","y","avg_price_product","pricediff_product","withingroupshare","estimateddi"
"19",98,3410057528,92,18,0.0471527777777778,16.27,"MILLER LITE BEER N.R",28509,34100,1,0.0394810208333333,0.000631379564348101,"98_92",0.016030025605949,6,4,0,0,0,0,0,0,0,1,0,0,0,0.983969974394051,-7.35144345176064,0.0471527777777778,0,0.0393873085339169,-7.354895351062
"20",98,3410057602,92,67,0.0415972222222222,5.09,"MILLER LITE BEER",28509,34100,1,0.0394799236111111,0.00235013504507349,"98_92",0.016030025605949,6,4,0,0,0,0,0,0,0,0,1,0,0,0.983969974394051,-6.03712259026584,0.0415972222222222,0,0.146608315098468,-6.00513927705217
"21",98,7336011341,92,14,0.0471527777777778,17.45,"OLD STYLE BEER",28509,73360,1,0.0389246180555556,0.000491072994492967,"98_92",0.016030025605949,1,9,0,0,0,0,0,0,0,0,0,1,0,0.983969974394051,-7.60275788004154,0.0471527777777778,0,0.0306345733041575,-7.60904776769646
"22",98,7336011751,92,45,0.0484722222222222,19.71,"OLD STYLE BEER",28509,73360,1,0.0389183472222222,0.00157844891087025,"98_92",0.016030025605949,1,9,0,0,0,0,0,0,0,0,0,0,1,0.983969974394051,-6.43515271988648,0.0484722222222222,0,0.0984682713347921,-6.41923459573668
"23",98,1820000016,93,20,0.0484722222222222,19.05,"BUDWEISER BEER",27892,18200,1,0.0392382638888889,0.000717051484296572,"98_93",0.0186791911659257,1,9,1,0,0,0,0,0,0,0,0,0,0,0.981320808834074,-7.22150706416697,0.0484722222222222,0,0.0383877159309021,-7.22591805868761
"24",98,1820011168,93,41,0.0381597222222222,2.82,"BUDWEISER BEER",27892,18200,1,0.0370836180555556,0.00146995554280797,"98_93",0.0186791911659257,1,9,0,1,0,0,0,0,0,0,0,0,0,0.981320808834074,-6.50366727101665,0.038545524691358,-0.000385802469135804,0.0786948176583493,-6.49268319570169
"25",98,3410000354,93,28,0.05125,22.98,"MILLER LITE BEER",27892,34100,1,0.03947275,0.0010038720780152,"98_93",0.0186791911659257,6,4,0,0,1,0,0,0,0,0,0,0,0,0.981320808834074,-6.88503482754576,0.05125,0,0.053742802303263,-6.88360894572547
"26",98,3410000554,93,7,0.05125,22.98,"MILLER GENUINE DRAFT",27892,34100,1,0.03947275,0.0002509680195038,"98_93",0.0186791911659257,6,4,0,0,0,1,0,0,0,0,0,0,0,0.981320808834074,-8.27132918866565,0.05125,0,0.0134357005758157,-8.28515303959427
"27",98,3410017306,93,70,0.0381597222222222,0.64,"MILLER GENUINE DRAFT",27892,34100,1,0.0379155,0.002509680195038,"98_93",0.0186791911659257,6,4,0,0,0,0,1,0,0,0,0,0,0,0.981320808834074,-5.9687440956716,0.0381597222222222,0,0.134357005758157,-5.93610283755551
"28",98,3410017505,93,49,0.05125,20.95,"MILLER GEN DRFT LNNR",27892,34100,1,0.040513125,0.0017567761365266,"98_93",0.0186791911659257,6,4,0,0,0,0,0,1,0,0,0,0,0,0.981320808834074,-6.32541903961033,0.05125,0,0.0940499040307102,-6.30850726466205
