"","store","upc","week","move","price","profit","descrip","custcoun","brand","wp","mks","csame","cdiff","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11","summks","os","y","avg_price_product","pricediff_product","withingroupshare"
"7021",122,3410000354,105,12,0.0498611111111111,20.83,"MILLER LITE BEER",26637,34100,0.0394750416666667,0.000450501182565604,6,4,0,1,0,0,0,0,0,0,0,0,0.134631013358941,0.865368986641059,-7.5605505670568,0.0498611111111111,0,0.00334619172303576
"7022",122,3410000554,105,12,0.0498611111111111,20.83,"MILLER GENUINE DRAFT",26637,34100,0.0394750416666667,0.000450501182565604,6,4,0,0,1,0,0,0,0,0,0,0,0.134631013358941,0.865368986641059,-7.5605505670568,0.0498611111111111,0,0.00334619172303576
"7023",122,3410017306,105,26,0.0339930555555556,11.54,"MILLER GENUINE DRAFT",26637,34100,0.0300702569444444,0.000976085895558809,6,4,0,0,0,1,0,0,0,0,0,0,0.134631013358941,0.865368986641059,-6.78736067882332,0.0339930555555556,0,0.00725008206657747
"7024",122,3410017505,105,14,0.05125,20.94,"MILLER GEN DRFT LNNR",26637,34100,0.04051825,0.000525584712993205,6,4,0,0,0,0,1,0,0,0,0,0,0.134631013358941,0.865368986641059,-7.40639988722955,0.0503703703703704,0.000879629629629626,0.00390389034354172
"7025",122,3410057306,105,183,0.0339930555555556,11.54,"MILLER LITE BEER",26637,34100,0.0300702569444444,0.00687014303412546,6,4,0,0,0,0,0,1,0,0,0,0,0.134631013358941,0.865368986641059,-4.83597106400338,0.0339660493827161,2.70061728395027e-05,0.0510294237762953
"7026",122,3410057528,105,29,0.0471527777777778,16.27,"MILLER LITE BEER N.R",26637,34100,0.0394810208333333,0.00108871119120021,6,4,0,0,0,0,0,0,1,0,0,0,0.134631013358941,0.865368986641059,-6.67816138685833,0.0471527777777778,0,0.00808662999733641
"7027",122,3410057602,105,37,0.0471527777777778,16.27,"MILLER LITE BEER",26637,34100,0.0394810208333333,0.00138904531291061,6,4,0,0,0,0,0,0,0,1,0,0,0.134631013358941,0.865368986641059,-6.43453930420058,0.0471527777777778,0,0.0103174244793603
"7028",122,7336011341,105,13,0.0471527777777778,17.45,"OLD STYLE BEER",26637,73360,0.0389246180555556,0.000488042947779405,1,9,0,0,0,0,0,0,0,0,1,0,0.134631013358941,0.865368986641059,-7.48050785938327,0.0471527777777778,0,0.00362504103328874
"7029",122,7336011751,105,16,0.0498611111111111,21.94,"OLD STYLE BEER",26637,73360,0.0389215833333333,0.000600668243420806,1,9,0,0,0,0,0,0,0,0,0,1,0.134631013358941,0.865368986641059,-7.27286849460502,0.0498611111111111,0,0.00446158896404768
"7030",122,1820000016,106,8,0.0498611111111111,21.3,"BUDWEISER BEER",27227,18200,0.0392406944444444,0.00029382598156242,1,9,0,0,0,0,0,0,0,0,0,0,0.127541630663972,0.872458369336028,-7.99608252504281,0.0498611111111111,0,0.00230376528850058
"7031",122,1820011168,106,46,0.0346875,13.11,"BUDWEISER BEER",27227,18200,0.03013996875,0.00168949939398391,1,9,1,0,0,0,0,0,0,0,0,0,0.127541630663972,0.872458369336028,-6.24688267023355,0.0346875,0,0.0132466504088784
"7032",122,3410000354,106,21,0.0498611111111111,20.83,"MILLER LITE BEER",27227,34100,0.0394750416666667,0.000771293201601352,6,4,0,1,0,0,0,0,0,0,0,0,0.127541630663972,0.872458369336028,-7.03100162899923,0.0498611111111111,0,0.00604738388231403
"7033",122,3410000554,106,8,0.0498611111111111,20.83,"MILLER GENUINE DRAFT",27227,34100,0.0394750416666667,0.00029382598156242,6,4,0,0,1,0,0,0,0,0,0,0,0.127541630663972,0.872458369336028,-7.99608252504281,0.0498611111111111,0,0.00230376528850058
"7034",122,3410017306,106,28,0.0381597222222222,0.63,"MILLER GENUINE DRAFT",27227,34100,0.0379193159722222,0.00102839093546847,6,4,0,0,0,1,0,0,0,0,0,0,0.127541630663972,0.872458369336028,-6.74331955654745,0.0381442901234568,1.54320987654291e-05,0.00806317850975204
"7035",122,3410017505,106,18,0.05125,20.94,"MILLER GEN DRFT LNNR",27227,34100,0.04051825,0.000661108458515444,6,4,0,0,0,0,1,0,0,0,0,0,0.127541630663972,0.872458369336028,-7.18515230882648,0.0506635802469136,0.000586419753086417,0.00518347189912631
"7036",122,3410057306,106,107,0.0381597222222222,0.63,"MILLER LITE BEER",27227,34100,0.0379193159722222,0.00392992250339736,6,4,0,0,0,0,0,1,0,0,0,0,0.127541630663972,0.872458369336028,-5.40269523226074,0.0381597222222222,0,0.0308128607336953
"7037",122,3410057528,106,20,0.0471527777777778,16.27,"MILLER LITE BEER N.R",27227,34100,0.0394810208333333,0.000734564953906049,6,4,0,0,0,0,0,0,1,0,0,0,0.127541630663972,0.872458369336028,-7.07979179316866,0.0471527777777778,0,0.00575941322125146
"7038",122,3410057602,106,48,0.0471527777777778,16.27,"MILLER LITE BEER",27227,34100,0.0394810208333333,0.00176295588937452,6,4,0,0,0,0,0,0,0,1,0,0,0.127541630663972,0.872458369336028,-6.20432305581476,0.0471527777777778,0,0.0138225917310035
"7039",122,7336011341,106,15,0.0471527777777778,17.45,"OLD STYLE BEER",27227,73360,0.0389246180555556,0.000550923715429537,1,9,0,0,0,0,0,0,0,0,1,0,0.127541630663972,0.872458369336028,-7.36747386562044,0.0471527777777778,0,0.00431955991593859
"7040",122,7336011751,106,5,0.0498611111111111,21.94,"OLD STYLE BEER",27227,73360,0.0389215833333333,0.000183641238476512,1,9,0,0,0,0,0,0,0,0,0,1,0.127541630663972,0.872458369336028,-8.46608615428855,0.0498611111111111,0,0.00143985330531286
"7041",122,1820000016,107,8,0.0491666666666667,20.19,"BUDWEISER BEER",26064,18200,0.0392399166666667,0.000306936771025169,1,9,0,0,0,0,0,0,0,0,0,0,0.115288595803509,0.884711404196492,-7.96637500505349,0.0493364197530864,-0.000169753086419755,0.00266233419607517
"7042",122,1820011168,107,37,0.0350347222222222,11.99,"BUDWEISER BEER",26064,18200,0.0308340590277778,0.00141958256599141,1,9,1,0,0,0,0,0,0,0,0,0,0.115288595803509,0.884711404196492,-6.4348986340891,0.0360763888888889,-0.00104166666666667,0.0123132956568477
"7043",122,3410000354,107,27,0.0491666666666667,19.71,"MILLER LITE BEER",26064,34100,0.0394759166666667,0.00103591160220994,6,4,0,1,0,0,0,0,0,0,0,0,0.115288595803509,0.884711404196492,-6.749979680729,0.0492592592592593,-9.25925925925955e-05,0.00898537791175369
"7044",122,3410000554,107,14,0.0494444444444444,20.16,"MILLER GENUINE DRAFT",26064,34100,0.0394764444444444,0.000537139349294045,6,4,0,0,1,0,0,0,0,0,0,0,0.115288595803509,0.884711404196492,-7.40675921711807,0.0493055555555556,0.00013888888888889,0.00465908484313154
"7045",122,3410017306,107,27,0.0381597222222222,0.63,"MILLER GENUINE DRAFT",26064,34100,0.0379193159722222,0.00103591160220994,6,4,0,0,0,1,0,0,0,0,0,0,0.115288595803509,0.884711404196492,-6.749979680729,0.0381597222222222,0,0.00898537791175369
"7046",122,3410017505,107,23,0.05125,20.94,"MILLER GEN DRFT LNNR",26064,34100,0.04051825,0.00088244321669736,6,4,0,0,0,0,1,0,0,0,0,0,0.115288595803509,0.884711404196492,-6.91032233080418,0.05125,0,0.00765421081371611
"7047",122,3410057306,107,107,0.0381597222222222,0.63,"MILLER LITE BEER",26064,34100,0.0379193159722222,0.00410527931246163,6,4,0,0,0,0,0,1,0,0,0,0,0.115288595803509,0.884711404196492,-5.37298771227142,0.0381597222222222,0,0.0356087198725054
"7048",122,3410057528,107,34,0.0471527777777778,16.27,"MILLER LITE BEER N.R",26064,34100,0.0394810208333333,0.00130448127685697,6,4,0,0,0,0,0,0,1,0,0,0,0.115288595803509,0.884711404196492,-6.51945602211717,0.0471527777777778,0,0.0113149203333195
"7049",122,3410057602,107,48,0.0471527777777778,16.27,"MILLER LITE BEER",26064,34100,0.0394810208333333,0.00184162062615101,6,4,0,0,0,0,0,0,0,1,0,0,0.115288595803509,0.884711404196492,-6.17461553582544,0.0471527777777778,0,0.015974005176451
